"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2024","MN0202","Greenwich Village","545,591.271455395","11.98%","0.06%","0.11","5.24535499119","117"
"2024","MN0203","West Village","436,653.30189345","11.54%","0.07%","0.10","5.11285628358","129"
"2024","MN0301","Chinatown-Two Bridges","1,063,990.15297659","17.43%","0.12%","0.18","6.80396557275","14"
"2024","MN0302","Lower East Side","815,973.731548145","23.39%","0.05%","0.13","5.76797794246","72"
"2024","MN0303","East Village","737,116.123057523","15.86%","0.05%","0.12","5.30790598861","114"
"2024","MN0401","Chelsea-Hudson Yards","143,771.133501679","12.74%","0.04%","0.12","4.91507928773","147"
"2024","MN0402","Hell's Kitchen","677,899.670107339","12.22%","0.06%","0.15","5.61715329948","84"
"2024","MN0501","Midtown South-Flatiron-Union Square","330,563.241654016","15.55%","0.05%","0.13","5.18662022325","121"
"2024","MN0502","Midtown-Times Square","909,302.541546453","33.46%","0.06%","0.16","5.65616521185","81"
"2024","MN0601","Stuyvesant Town-Peter Cooper Village","485,342.168771942","14.97%","0.03%","0.13","4.91554650819","146"
"2024","MN0602","Gramercy","410,034.63548558","11.02%","0.03%","0.10","4.87015737078","152"
"2024","MN0603","Murray Hill-Kips Bay","926,197.93662432","10.91%","0.03%","0.14","5.49564540785","98"
"2024","MN0604","East Midtown-Turtle Bay","553,265.278906079","8.11%","0.05%","0.13","4.94702487239","143"
"2024","MN0701","Upper West Side-Lincoln Square","1,359,491.95357208","12.89%","0.06%","0.14","6.1248828255","43"
"2024","MN0702","Upper West Side (Central)","922,781.255114679","12.12%","0.04%","0.13","5.50203587993","97"
"2024","MN0703","Upper West Side-Manhattan Valley","1,160,549.86403112","15.41%","0.07%","0.14","6.26672640822","34"
"2024","MN0801","Upper East Side-Lenox Hill-Roosevelt Island","983,389.715132342","9.01%","0.04%","0.17","5.17257757224","123"
"2024","MN0802","Upper East Side-Carnegie Hill","993,736.244297001","17.81%","0.05%","0.11","5.12880205935","128"
"2024","MN0803","Upper East Side-Yorkville","881,719.204402591","10.16%","0.05%","0.12","5.16030380192","125"
"2024","MN0901","Morningside Heights","286,435.656628784","22.18%","0.10%","0.19","5.87454756716","59"
"2024","MN0902","Manhattanville-West Harlem","785,225.125520075","24.41%","0.13%","0.14","6.21985801288","39"
"2024","MN0903","Hamilton Heights-Sugar Hill","943,342.911429751","18.40%","0.08%","0.18","5.79562466238","68"
"2024","MN1001","Harlem (South)","-1,232,416.71568931","15.12%","0.07%","0.12","3.80792589205","186"
"2024","MN1002","Harlem (North)","1,169,640.71234775","19.60%","0.12%","0.13","6.25534148466","35"
"2024","MN1101","East Harlem (South)","1,517,825.79496548","21.65%","0.09%","0.13","6.796796588","15"
"2024","MN1102","East Harlem (North)","779,599.425861069","25.44%","0.09%","0.12","6.14759982617","41"
"2024","MN1201","Washington Heights (South)","1,816,291.43374584","20.29%","0.14%","0.19","7.0871150491","9"
"2024","MN1202","Washington Heights (North)","2,440,297.98549901","24.29%","0.12%","0.19","7.38953108517","4"
"2024","MN1203","Inwood","-624,041.386971921","14.99%","0.08%","0.17","4.58374591854","168"
"2024","QN0101","Astoria (North)-Ditmars-Steinway","2,040,784.74433581","20.10%","0.08%","0.13","6.44508216491","23"
"2024","QN0102","Old Astoria-Hallets Point","187,938.628122772","19.82%","0.07%","0.18","4.95083273955","141"
"2024","QN0103","Astoria (Central)","860,166.780490197","11.65%","0.07%","0.16","5.85637810666","61"
"2024","QN0104","Astoria (East)-Woodside (North)","1,072,940.28535686","16.93%","0.09%","0.18","5.77104964294","70"
"2024","QN0105","Queensbridge-Ravenswood-Dutch Kills","-3,549,293.758594","18.81%","0.07%","0.17","2.24547929946","195"
"2024","QN0201","Long Island City-Hunters Point","-129,753.359422854","11.46%","0.06%","0.21","5.13858327422","126"
"2024","QN0202","Sunnyside","-104,606.613041088","16.36%","0.07%","0.26","5.18133257228","122"
"2024","QN0203","Woodside","-557,994.268884639","14.78%","0.05%","0.33","4.00008275657","181"
"2024","QN0301","Jackson Heights","2,552,899.61208652","17.62%","0.09%","0.26","7.07063041402","10"
"2024","QN0302","East Elmhurst","160,279.081967766","18.87%","0.07%","0.24","5.5917682375","85"
"2024","QN0303","North Corona","408,405.276995648","13.77%","0.03%","0.40","5.40912309356","106"
"2024","QN0401","Elmhurst","1,836,059.86860406","13.99%","0.05%","0.32","6.35115193958","28"
"2024","QN0402","Corona","1,177,197.0215739","14.10%","0.07%","0.32","6.48853939117","22"
"2024","QN0501","Maspeth","752,749.328760964","11.58%","0.07%","0.18","5.85319017616","62"
"2024","QN0502","Ridgewood","1,390,134.29991662","12.82%","0.07%","0.20","6.31223338127","30"
"2024","QN0503","Glendale","403,126.687652967","17.72%","0.05%","0.15","5.16229329774","124"
"2024","QN0504","Middle Village","-481,957.925624873","11.42%","0.04%","0.15","3.96253079575","183"
